Index	Name	Description	File Name	Quantity
1	Tslot20_heigh		/home/djordje/Desktop/slat-sort-cam-dark-box/parts/T-Slot_20_height.FCStd	4
2	Tslot20_len		/home/djordje/Desktop/slat-sort-cam-dark-box/parts/T-Slot_20_length.FCStd	4
3	Tslot20_wid		/home/djordje/Desktop/slat-sort-cam-dark-box/parts/T-Slot_20_width.FCStd	4
4	Part_Bracket		/home/djordje/Desktop/slat-sort-cam-dark-box/downloads/2020-corner-bracket.FCStd	16
5	T-Nut_2020_M5		/home/djordje/Desktop/slat-sort-cam-dark-box/parts/T-nut_20.FCStd	56
6.1.2	Hex socket countersunk head screw ISO 10642 M5 15.0		/home/djordje/Desktop/slat-sort-cam-dark-box/assembly/dbox_asm.FCStd	4
10.1.2	linear_slide_12		/home/djordje/Desktop/slat-sort-cam-dark-box/secondary/linear_slide.FCStd	4
10.1.3.2.1.1	SHF12		/home/djordje/Desktop/slat-sort-cam-dark-box/downloads/linear-bearing-shaft-support-shf12-1.snapshot.1/SHF_12.FCStd	2
10.1.3.2.1.2	Hex socket head cap screw DIN 912 M4 15.0		/home/djordje/Desktop/slat-sort-cam-dark-box/secondary/bolts.FCStd	2
10.1.3.4.1.2	Hex screw M2.5 04.0		/home/djordje/Desktop/slat-sort-cam-dark-box/secondary/bolts.FCStd	8
10.1.3.5.1.4	Hex screw M4 10.0		/home/djordje/Desktop/slat-sort-cam-dark-box/secondary/bolts.FCStd	8
10.1.6	Hexagonal Nut M5_CBALN5		/home/djordje/Desktop/slat-sort-cam-dark-box/secondary/nuts_hexagonal.FCStd	8
11.1.2	Hex screw M5 10.0		/home/djordje/Desktop/slat-sort-cam-dark-box/secondary/bolts.FCStd	41
13.1.2	TAH15-M5-L6		/home/djordje/Desktop/slat-sort-cam-dark-box/secondary/TAH15_M5_L6.FCStd	8
